State/Uts,"No of TB - Diabetes-TB patients with known DM status, of notified)-Public","Percentage  of TB - Diabetes-TB patients with known DM status,of notified)-Public","No of TB - Diabetes-TB patients with known DM status, of notified)-Private","Percentage  of TB - Diabetes-TB patients with known DM status, of notified)-Private","No of TB - Diabetes-TB patients with known DM status,of notified)-Total","Percentage of TB - Diabetes-TB patients with known DM status,  of notified)-Total","No of TB - Diabetes-Patients diagnosed among tested,of those with known DM status)-Public","Percentage of TB - Diabetes- Patients diagnosed among tested,of those with known DM status)-Public","No of TB - Diabetes- Patients diagnosed among tested, of those with known DM status)-Private","Percentage  of TB - Diabetes-Patients diagnosed among tested,  of those with known DM status)-Private","No of TB - Diabetes-Patients diagnosed among tested, of those with known DM status)-Total","Percentage  of TB - Diabetes-  Patients diagnosed among tested, of those with known DM status)-Total","No of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Public","Percentage of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Public","No of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Private","Percentage of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Private","No of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)0Total","Percentage of TB - Diabetes- patients initiated on Anti-diabetic treatment,of TB-DM)0Total"
Himachal Pradesh,15885.0,99.1,455.0,97.2,16340.0,99.0,1484.0,9.3,27.0,5.9,1511.0,9.2,1136.0,76.5,21.0,77.8,1157.0,76.6
Jammu & Kashmir,10855.0,95.4,552.0,94.8,11407.0,95.4,729.0,6.7,40.0,7.2,769.0,6.7,378.0,51.9,31.0,77.5,409.0,53.2
Jharkhand,42246.0,90.0,9644.0,83.8,51890.0,88.8,2305.0,5.5,648.0,6.7,2953.0,5.7,1266.0,54.9,260.0,40.1,1526.0,51.7
Karnataka,64615.0,95.9,10593.0,90.0,75208.0,95.0,9616.0,14.9,975.0,9.2,10591.0,14.1,7379.0,76.7,742.0,76.1,8121.0,76.7
Kerala,19388.0,94.1,2557.0,88.2,21945.0,93.3,6376.0,32.9,770.0,30.1,7146.0,32.6,4163.0,65.3,446.0,57.9,4609.0,64.5
Ladakh,306.0,91.6,9.0,81.8,315.0,91.3,7.0,2.3,1.0,11.1,8.0,2.5,6.0,85.7,1.0,100.0,7.0,87.5
Lakshadweep,21.0,95.5,,,21.0,95.5,5.0,23.8,,,5.0,23.8,4.0,80.0,,,4.0,80.0
Madhya Pradesh,125381.0,89.8,46026.0,93.5,171407.0,90.7,6816.0,5.4,3221.0,7.0,10037.0,5.9,2983.0,43.8,1196.0,37.1,4179.0,41.6
Maharashtra,148268.0,97.3,73877.0,95.5,222145.0,96.7,9416.0,6.4,4376.0,5.9,13792.0,6.2,6493.0,69.0,2543.0,58.1,9036.0,65.5
Manipur,1808.0,76.3,143.0,55.6,1951.0,74.3,275.0,15.2,11.0,7.7,286.0,14.7,129.0,46.9,2.0,18.2,131.0,45.8
Meghalaya,3646.0,78.6,165.0,51.2,3811.0,76.8,216.0,5.9,4.0,2.4,220.0,5.8,142.0,65.7,3.0,75.0,145.0,65.9
Mizoram,2056.0,98.6,20.0,100.0,2076.0,98.6,129.0,6.3,6.0,30.0,135.0,6.5,125.0,96.9,6.0,100.0,131.0,97.0
Nagaland,3165.0,83.2,349.0,93.6,3514.0,84.1,175.0,5.5,20.0,5.7,195.0,5.5,86.0,49.1,2.0,10.0,88.0,45.1
Odisha,53597.0,96.5,4141.0,94.2,57738.0,96.3,4047.0,7.6,274.0,6.6,4321.0,7.5,3105.0,76.7,211.0,77.0,3316.0,76.7
Puducherry,1510.0,99.0,2.0,100.0,1512.0,99.0,464.0,30.7,0.0,0.0,464.0,30.7,445.0,95.9,,,445.0,95.9
Punjab,43665.0,91.5,9006.0,91.8,52671.0,91.5,4930.0,11.3,676.0,7.5,5606.0,10.6,2266.0,46.0,170.0,25.1,2436.0,43.5
Rajasthan,119170.0,90.5,34317.0,88.8,153487.0,90.1,3484.0,2.9,1208.0,3.5,4692.0,3.1,2276.0,65.3,538.0,44.5,2814.0,60.0
Sikkim,1305.0,97.5,71.0,95.9,1376.0,97.5,118.0,9.0,4.0,5.6,122.0,8.9,106.0,89.8,3.0,75.0,109.0,89.3
Tamil Nadu,76635.0,97.9,16054.0,90.8,92689.0,96.6,20196.0,26.4,3655.0,22.8,23851.0,25.7,19144.0,94.8,3179.0,87.0,22323.0,93.6
Telangana,51411.0,94.3,17215.0,92.2,68626.0,93.7,3250.0,6.3,892.0,5.2,4142.0,6.0,2691.0,82.8,738.0,82.7,3429.0,82.8
Tripura,3078.0,94.6,34.0,85.0,3112.0,94.4,473.0,15.4,6.0,17.6,479.0,15.4,182.0,38.5,0.0,0.0,182.0,38.0
Uttar Pradesh,390088.0,93.0,100893.0,86.5,490981.0,91.6,21480.0,5.5,1968.0,2.0,23448.0,4.8,8161.0,38.0,670.0,34.0,8831.0,37.7
Uttarakhand,21948.0,96.6,4339.0,93.3,26287.0,96.1,1741.0,7.9,231.0,5.3,1972.0,7.5,670.0,38.5,121.0,52.4,791.0,40.1
West Bengal,87854.0,93.6,6472.0,80.9,94326.0,92.6,12541.0,14.3,910.0,14.1,13451.0,14.3,9590.0,76.5,710.0,78.0,10300.0,76.6
India,1707030.0,92.1,508900.0,89.6,2215930.0,91.5,143167.0,8.4,30564.0,6.0,173731.0,7.8,93897.0,65.6,16161.0,52.9,110058.0,63.3
Himachal Pradesh,10092.348822913267,98.41758518679768,2.0,94.97456040546022,33455.637460820915,98.95000741579456,3824.0523220650184,9.562592767194637,0.0,6.277414053216638,5692.3598934741685,7.543152369092556,8.006917381313315,77.03809973234259,48.61201033116719,78.0095058671148,1817.9959320656208,77.17557154216684
Karnataka,62068.84723906402,95.33151367117546,5390.896796596605,89.22383972820401,136693.22223269817,94.87010320703547,5579.102166287843,12.694218016967877,1747.0402562640497,10.287561568713597,15430.152435446798,15.301166855896753,7846.10282412863,75.2634510707779,642.485311899476,79.96755703049598,8384.838616245173,76.43422873041348
Manipur,21.0,76.1812686563223,2.0,54.56597607704604,11514.901771755443,75.66791494953257,2391.5042117207745,15.141017058137093,1208.3751156691906,7.628553173424544,5.0,14.755800023651659,4.0,45.62128375266318,436.5291955869267,12.038599298888604,1658.9963139313784,42.6730124155483
Bihar,60517.598506439266,66.58776522150929,75460.96621789124,88.2656004632012,91853.50172116159,77.1886830084424,2961.1723086362927,4.513773792100501,3977.4029139605364,5.1282453353565325,8923.603157539039,4.91048906675381,136.0478878469487,45.542419609488235,781.1662797085537,20.329690713220504,4936.093173346482,33.5
Andaman & Nicobar Islands,372.5855228489131,95.12847582523136,2.0,75.00005351338388,21.0,96.01318361743209,2791.3577072864205,18.602164908212174,0.0,33.3,5.0,18.54421044087246,2338.8698043308195,71.17688233134982,455.09166031687136,94.83816606034418,4.0,67.79691001400205
Punjab,26856.44920463126,91.92389225061409,2.0,91.59632378914168,103788.5669187455,92.11151710921135,4124.077610535784,10.312164687643268,471.71388255532906,8.056905931420832,701.817230544757,9.616781932824138,2420.810247323064,45.47364798820008,0.0,25.654605602589577,727.6038691055105,42.82682924463957
Puducherry,21.0,97.66715459079617,2.0,100.0,66972.70531733558,98.33159366861125,91.59936700033461,31.175056458853227,259.2171020028357,0.0,3065.4054389693897,30.283061449567548,4.0,96.9,,,4.0,93.7505266284855
Kerala,22242.316483673723,94.84831892328403,21386.365392677453,88.23193331173121,52384.04260182004,93.01496849880608,5519.227511226778,32.9,0.0,29.947183727926415,6886.055662001645,32.6,4151.498582947785,64.44844859612039,307.274930497363,58.78177674799958,3168.4521117254953,63.91978555819851
Dadra and Nagar Haveli and Daman and Diu,9725.144511761097,99.2,6649.947893078362,100.0,21.0,97.8125829361455,3573.0160991519397,6.927744162802403,0.0,4.547087793199659,5.0,5.896700387080775,4.0,80.39176858024837,0.0,65.68828721749921,31.93028791646277,78.72663501675152
Andhra Pradesh,68239.12939417518,99.2,21289.87045874113,100.0,89305.4842689428,98.56957175022727,11362.096188967747,13.119930970966031,2304.3705195393936,9.409217241076119,16662.208142960037,12.806144398359898,6339.96881667522,72.64979280748128,1580.2918834004308,58.32670411883914,6283.085903699988,68.85751061938936
